Global_Time,Global_X,Global_Y,v_Vel,v_Acc
0,679864.4007,419283.8057,11.12,0
1,679864.4159,419284.144,11.12,0
2,679864.4315,419284.4826,11.12,0
3,679864.4467,419284.8213,11.12,0
4,679864.4623,419285.1599,11.12,0
5,679864.4775,419285.4985,11.12,0
6,679864.493,419285.8372,11.12,0
7,679864.5083,419286.1755,11.12,0
8,679864.5238,419286.5141,11.12,0
9,679864.5391,419286.8528,11.12,0
10,679864.5546,419287.1914,11.12,0
11,679864.5699,419287.53,11.12,0
12,679864.5854,419287.8687,11.12,0
13,679864.6006,419288.207,11.12,0
14,679864.6162,419288.5456,11.12,0
15,679864.6314,419288.8843,11.12,0
16,679864.647,419289.2229,11.12,0
17,679864.6625,419289.5615,11.12,0
18,679864.6778,419289.8998,11.12,0
19,679864.6933,419290.2385,11.12,0
20,679864.7085,419290.5771,11.12,0
21,679864.7241,419290.9157,11.12,0
22,679864.7393,419291.2544,11.12,0
23,679864.7549,419291.593,11.12,0
24,679864.7701,419291.9313,11.12,0
25,679864.7857,419292.27,11.14,0.34
26,679864.8009,419292.6086,11.15,0
27,679864.8164,419292.9472,10.93,-3.52
28,679864.8323,419293.2968,10.22,-10.18
29,679864.8481,419293.6151,8.91,-11.21
30,679864.8603,419293.8586,7.11,-11.21
31,679864.8676,419294.0463,5.15,-11.21
32,679864.8713,419294.1719,3.38,-11.22
33,679864.8728,419294.2304,1.94,-11.22
34,679864.8744,419294.2676,0.91,-7.91
35,679864.8747,419294.2762,0.32,-4.1
36,679864.8744,419294.2673,0.04,-1.29
37,679864.8744,419294.2673,0.04,-0.23
38,679864.8744,419294.2673,0,0.25
39,679864.8744,419294.2673,0,0
40,679864.8744,419294.2673,0,0
41,679864.8744,419294.2673,0,0
42,679864.8744,419294.2673,0,0
43,679864.8744,419294.2673,0,0
44,679864.8744,419294.2673,0,0
45,679864.8744,419294.2673,0,0
46,679864.8744,419294.2673,0,0
47,679864.8744,419294.2673,0,0
48,679864.8744,419294.2673,0,0
49,679864.8744,419294.267,0,0.13
50,679864.8744,419294.267,0,0.27
51,679864.8747,419294.2682,0.06,0.35
52,679864.8753,419294.2704,0.09,0.29
53,679864.8762,419294.274,0.11,0.14
54,679864.8774,419294.2777,0.11,0
55,679864.8783,419294.281,0.11,-0.03
56,679864.8795,419294.2844,0.11,0
57,679864.8805,419294.2877,0.11,0
58,679864.8817,419294.2911,0.11,0
59,679864.8826,419294.2945,0.11,0
60,679864.8835,419294.2978,0.11,0
61,679864.8847,419294.3012,0.11,0
62,679864.8856,419294.3045,0.11,0
63,679864.8865,419294.3079,0.11,0
64,679864.8878,419294.3112,0.11,0
65,679864.8887,419294.3146,0.11,0
66,679864.8899,419294.3179,0.11,0
67,679864.8908,419294.3213,0.11,0
68,679864.8917,419294.3249,0.11,0
69,679864.8929,419294.3283,0.11,0
70,679864.8939,419294.3316,0.11,0
71,679864.8951,419294.335,0.11,0
72,679864.896,419294.3383,0.11,0
73,679864.8969,419294.3417,0.11,0
74,679864.8981,419294.3451,0.11,0
75,679864.899,419294.3484,0.11,0
76,679864.9,419294.3518,0.11,0
77,679864.9012,419294.3551,0.11,0
78,679864.9021,419294.3585,0.11,0
79,679864.9033,419294.3618,0.11,0
80,679864.9042,419294.3652,0.11,0
81,679864.9051,419294.3685,0.12,0
82,679864.9064,419294.3722,0.12,0
83,679864.9073,419294.3755,0.11,0
84,679864.9082,419294.3789,0.11,0
85,679864.9094,419294.3822,0.11,0
86,679864.9103,419294.3856,0.11,0
87,679864.9115,419294.3889,0.11,0
88,679864.9125,419294.3923,0.11,0
89,679864.9134,419294.3956,0.11,0
90,679864.9146,419294.399,0.11,0
91,679864.9155,419294.4024,0.11,0
92,679864.9167,419294.4057,0.11,0
93,679864.9176,419294.4091,0.11,0
94,679864.9186,419294.4124,0.11,0
95,679864.9198,419294.4158,0.11,0
96,679864.9207,419294.4191,0.12,0
97,679864.9216,419294.4228,0.11,0
98,679864.9228,419294.4261,0.11,0
99,679864.9237,419294.4295,0.11,0
100,679864.925,419294.4328,0.11,0
101,679864.9259,419294.4362,0.11,0
102,679864.9268,419294.4395,0.11,0
103,679864.928,419294.4429,0.11,0
104,679864.9289,419294.4462,0.11,0
105,679864.9298,419294.4496,0.11,0
106,679864.931,419294.453,0.11,0
107,679864.932,419294.4563,0.11,0
108,679864.9332,419294.4597,0.11,0
109,679864.9341,419294.463,0.11,0
110,679864.935,419294.4664,0.11,0
111,679864.9362,419294.47,0.11,0
112,679864.9371,419294.4734,0.11,0
113,679864.9384,419294.4767,0.11,0
114,679864.9393,419294.4801,0.11,0
115,679864.9402,419294.4834,0.11,0
116,679864.9414,419294.4868,0.11,0
117,679864.9423,419294.4901,0.11,0
118,679864.9432,419294.4935,0.11,0
119,679864.9445,419294.4968,0.11,0
120,679864.9454,419294.5002,0.11,0
121,679864.9466,419294.5035,0.11,0
122,679864.9475,419294.5069,0.11,0
123,679864.9484,419294.5103,0.11,0
124,679864.9496,419294.5136,0.11,0
125,679864.9506,419294.5173,0.12,0
126,679864.9515,419294.5206,0.11,0
127,679864.9527,419294.524,0.11,0
128,679864.9536,419294.5273,0.11,0
129,679864.9548,419294.5307,0.11,0
130,679864.9557,419294.534,0.11,0
131,679864.9567,419294.5374,0.11,0
132,679864.9579,419294.5407,0.11,0
133,679864.9588,419294.5441,0.11,0
134,679864.96,419294.5474,0.11,0
135,679864.9609,419294.5508,0.11,0
136,679864.9618,419294.5541,0.11,0
137,679864.9631,419294.5575,0.11,0
138,679864.964,419294.5609,0.12,0
139,679864.9649,419294.5645,0.12,0
140,679864.9661,419294.5679,0.11,0
141,679864.967,419294.5712,0.11,0
142,679864.9682,419294.5746,0.11,0
143,679864.9691,419294.5779,0.11,0
144,679864.9701,419294.5813,0.11,0
145,679864.9713,419294.5846,0.11,0
146,679864.9722,419294.588,0.11,0
147,679864.9731,419294.5913,0.11,0
148,679864.9743,419294.5947,0.11,0
149,679864.9752,419294.598,0.11,0
150,679864.9765,419294.6014,0.11,0
151,679864.9774,419294.6047,0.11,0
152,679864.9783,419294.6081,0.11,0
153,679864.9795,419294.6114,0.11,0
154,679864.9804,419294.6151,0.12,0
155,679864.9813,419294.6185,0.11,0
156,679864.9826,419294.6218,0.11,0
157,679864.9835,419294.6252,0.11,0
158,679864.9847,419294.6285,0.11,0
159,679864.9856,419294.6319,0.11,0
160,679864.9865,419294.6352,0.11,0
161,679864.9877,419294.6386,0.11,0
162,679864.9887,419294.6419,0.11,0
163,679864.9899,419294.6453,0.11,0
164,679864.9908,419294.6486,0.11,0
165,679864.9917,419294.652,0.11,0
166,679864.9929,419294.6553,0.11,0.03
167,679864.9938,419294.6587,0.12,0
168,679864.9948,419294.6623,0.12,0
169,679864.996,419294.6657,0.11,0
170,679864.9969,419294.6691,0.11,0
171,679864.9981,419294.6724,0.11,0
172,679864.999,419294.6758,0.11,0
173,679864.9999,419294.6791,0.11,0
174,679865.0012,419294.6825,0.11,0
175,679865.0021,419294.6858,0.11,0
176,679865.003,419294.6892,0.11,0
177,679865.0042,419294.6925,0.11,0
178,679865.0051,419294.6959,0.11,0
179,679865.0063,419294.6992,0.11,0
180,679865.0072,419294.7026,0.11,0
181,679865.0082,419294.7059,0.11,0
182,679865.0094,419294.7096,0.11,0
183,679865.0103,419294.7129,0.11,0
184,679865.0115,419294.7163,0.11,0
185,679865.0124,419294.7197,0.11,0
186,679865.0133,419294.723,0.11,0
187,679865.0146,419294.7264,0.11,0
188,679865.0155,419294.7297,0.11,0
189,679865.0164,419294.7331,0.11,0
190,679865.0176,419294.7364,0.11,0
191,679865.0185,419294.7398,0.11,0
192,679865.0197,419294.7431,0.11,0
193,679865.0207,419294.7465,0.11,0
194,679865.0216,419294.7498,0.11,0
195,679865.0228,419294.7532,0.11,0
196,679865.0237,419294.7565,0.12,0
197,679865.0246,419294.7602,0.12,0
198,679865.0258,419294.7635,0.11,0
199,679865.0268,419294.7669,0.11,0
200,679865.028,419294.7702,0.11,0
201,679865.0289,419294.7736,0.11,0
202,679865.0298,419294.777,0.11,0
203,679865.031,419294.7803,0.11,0
204,679865.0319,419294.7837,0.11,0
205,679865.0332,419294.787,0.11,0
206,679865.0341,419294.7904,0.11,0
207,679865.035,419294.7937,0.11,0
208,679865.0362,419294.7971,0.11,0
209,679865.0371,419294.8004,0.11,0
210,679865.038,419294.8038,0.12,0
211,679865.0393,419294.8074,0.12,0
212,679865.0402,419294.8108,0.11,0
213,679865.0414,419294.8141,0.11,0
214,679865.0423,419294.8175,0.11,0
215,679865.0432,419294.8208,0.11,0
216,679865.0444,419294.8242,0.11,0
217,679865.0453,419294.8276,0.11,0
218,679865.0463,419294.8309,0.11,0
219,679865.0475,419294.8343,0.11,0
220,679865.0484,419294.8376,0.11,0
221,679865.0496,419294.841,0.11,0
222,679865.0505,419294.8443,0.11,0
223,679865.0514,419294.8477,0.11,0
224,679865.0527,419294.851,0.11,0
225,679865.0536,419294.8547,0.11,0
226,679865.0545,419294.858,0.11,0
227,679865.0557,419294.8614,0.11,0
228,679865.0566,419294.8647,0.11,0
229,679865.0578,419294.8681,0.11,0
230,679865.0588,419294.8714,0.11,0
231,679865.0597,419294.8748,0.11,0
232,679865.0609,419294.8781,0.11,0
233,679865.0618,419294.8815,0.11,0
234,679865.063,419294.8849,0.11,0
235,679865.0639,419294.8882,0.11,0
236,679865.0649,419294.8916,0.11,0
237,679865.0661,419294.8949,0.11,0
238,679865.067,419294.8983,0.11,0
239,679865.0679,419294.9016,0.12,0
240,679865.0691,419294.9053,0.12,0
241,679865.07,419294.9086,0.11,0
242,679865.0713,419294.912,0.11,0
243,679865.0722,419294.9153,0.11,0
244,679865.0731,419294.9187,0.11,0
245,679865.0743,419294.922,0.11,0
246,679865.0752,419294.9254,0.11,0
247,679865.0761,419294.9287,0.11,0
248,679865.0774,419294.9321,0.11,0
249,679865.0783,419294.9354,0.11,0
250,679865.0795,419294.9388,0.11,0
251,679865.0804,419294.9422,0.11,0
252,679865.0813,419294.9455,0.11,0
253,679865.0825,419294.9489,0.12,0
254,679865.0834,419294.9525,0.11,0
255,679865.0847,419294.9559,0.11,0
256,679865.0856,419294.9592,0.11,0
257,679865.0865,419294.9626,0.11,0
258,679865.0877,419294.9659,0.11,0
259,679865.0886,419294.9693,0.11,0
260,679865.0895,419294.9726,0.11,0
261,679865.0908,419294.976,0.11,0
262,679865.0917,419294.9793,0.11,0
263,679865.0929,419294.9827,0.11,0
264,679865.0938,419294.986,0.11,0
265,679865.0947,419294.9894,0.11,0
266,679865.0959,419294.9928,0.11,0
267,679865.0969,419294.9961,0.11,0.03
268,679865.0978,419294.9995,0.12,0
269,679865.099,419295.0031,0.12,0
270,679865.0999,419295.0065,0.11,0
271,679865.1011,419295.0098,0.11,0
272,679865.102,419295.0132,0.11,0
273,679865.103,419295.0165,0.11,0
274,679865.1042,419295.0199,0.11,0
275,679865.1051,419295.0232,0.11,0
276,679865.1063,419295.0266,0.11,0
277,679865.1072,419295.0299,0.11,0
278,679865.1081,419295.0333,0.11,0
279,679865.1094,419295.0366,0.11,0
280,679865.1103,419295.04,0.11,0
281,679865.1112,419295.0433,0.11,0
282,679865.1124,419295.0467,0.12,0
283,679865.1133,419295.0504,0.12,0
284,679865.1145,419295.0537,0.11,0
285,679865.1155,419295.0571,0.11,0
286,679865.1164,419295.0604,0.11,0
287,679865.1176,419295.0638,0.11,0
288,679865.1185,419295.0671,0.11,0
289,679865.1194,419295.0705,0.11,0
290,679865.1206,419295.0738,0.11,0
291,679865.1215,419295.0772,0.11,0
292,679865.1228,419295.0805,0.11,0
293,679865.1237,419295.0839,0.11,0
294,679865.1246,419295.0872,0.11,0
295,679865.1258,419295.0906,0.11,0
296,679865.1267,419295.0939,0.11,0
297,679865.1279,419295.0973,0.12,0
298,679865.1289,419295.101,0.12,0
299,679865.1298,419295.1043,0.11,-0.03
300,679865.131,419295.1077,0.11,0
301,679865.1319,419295.111,0.11,0
302,679865.1328,419295.1144,0.11,0
303,679865.134,419295.1177,0.11,0
304,679865.135,419295.1211,0.11,0
305,679865.1362,419295.1244,0.11,0
306,679865.1371,419295.1278,0.11,0
307,679865.138,419295.1311,0.11,0
308,679865.1392,419295.1345,0.11,0
309,679865.1401,419295.1378,0.11,0
310,679865.1411,419295.1412,0.11,0
311,679865.1423,419295.1445,0.12,0
312,679865.1432,419295.1482,0.12,0
313,679865.1444,419295.1516,0.11,0
314,679865.1453,419295.1549,0.11,0
315,679865.1462,419295.1583,0.11,0
316,679865.1475,419295.1616,0.11,0
317,679865.1484,419295.165,0.11,0
318,679865.1493,419295.1683,0.11,0
319,679865.1505,419295.1717,0.11,0
320,679865.1514,419295.175,0.11,0
321,679865.1526,419295.1784,0.11,0
322,679865.1536,419295.1817,0.11,0
323,679865.1545,419295.1851,0.11,0
324,679865.1557,419295.1884,0.11,0
325,679865.1566,419295.1918,0.11,0
326,679865.1578,419295.1954,0.11,0
327,679865.1587,419295.1988,0.11,0
328,679865.1596,419295.2021,0.11,0
329,679865.1609,419295.2055,0.11,0
330,679865.1618,419295.2089,0.11,0
331,679865.1627,419295.2122,0.11,0
332,679865.1639,419295.2156,0.11,0
333,679865.1648,419295.2189,0.11,0
334,679865.166,419295.2223,0.11,0
335,679865.167,419295.2256,0.11,0
336,679865.1679,419295.229,0.11,0
337,679865.1691,419295.2323,0.11,0
338,679865.17,419295.2357,0.11,0
339,679865.1709,419295.239,0.11,0
340,679865.1721,419295.2424,0.12,0
341,679865.1731,419295.246,0.11,0
342,679865.1743,419295.2494,0.11,0
343,679865.1752,419295.2527,0.11,0
344,679865.1761,419295.2561,0.11,0
345,679865.1773,419295.2595,0.11,0
346,679865.1782,419295.2628,0.11,0
347,679865.1795,419295.2662,0.11,0
348,679865.1804,419295.2695,0.11,0
349,679865.1813,419295.2729,0.11,0
350,679865.1825,419295.2762,0.11,0
351,679865.1834,419295.2796,0.11,0
352,679865.1843,419295.2829,0.11,0
353,679865.1856,419295.2863,0.11,0
354,679865.1865,419295.2896,0.11,0
355,679865.1877,419295.2933,0.12,0
356,679865.1886,419295.2966,0.11,0
357,679865.1895,419295.3,0.11,0
358,679865.1907,419295.3033,0.11,0
359,679865.1917,419295.3067,0.11,0
360,679865.1926,419295.31,0.11,0
361,679865.1938,419295.3134,0.11,0
362,679865.1947,419295.3168,0.11,0
363,679865.1959,419295.3201,0.11,0
364,679865.1968,419295.3235,0.11,0
365,679865.1977,419295.3268,0.11,0
366,679865.199,419295.3302,0.11,0
367,679865.1999,419295.3335,0.11,0
368,679865.2011,419295.3369,0.11,0
369,679865.202,419295.3402,0.12,0
370,679865.2029,419295.3439,0.12,0
371,679865.2041,419295.3472,0.11,0
372,679865.2051,419295.3506,0.11,0
373,679865.206,419295.3539,0.11,0
374,679865.2072,419295.3573,0.11,0
375,679865.2081,419295.3606,0.11,0
376,679865.2093,419295.364,0.11,0
377,679865.2102,419295.3674,0.11,0
378,679865.2112,419295.3707,0.11,0
379,679865.2124,419295.3741,0.11,0
380,679865.2133,419295.3774,0.11,0
381,679865.2142,419295.3808,0.11,0
382,679865.2154,419295.3841,0.11,0
383,679865.2163,419295.3875,0.11,0
384,679865.2176,419295.3908,0.11,0
385,679865.2185,419295.3945,0.11,0
386,679865.2194,419295.3978,0.11,0
387,679865.2206,419295.4012,0.11,0
388,679865.2215,419295.4045,0.11,0
389,679865.2224,419295.4079,0.11,0
390,679865.2237,419295.4112,0.11,0
391,679865.2246,419295.4146,0.11,0
392,679865.2258,419295.4179,0.11,0
393,679865.2267,419295.4213,0.11,0
394,679865.2276,419295.4247,0.11,0
395,679865.2288,419295.428,0.11,0
396,679865.2298,419295.4314,0.11,0
397,679865.231,419295.4347,0.11,0
398,679865.2319,419295.4381,0.12,0
399,679865.2328,419295.4417,0.12,0
400,679865.234,419295.4451,0.11,0
401,679865.2349,419295.4484,0.11,0
402,679865.2358,419295.4518,0.11,0
403,679865.2371,419295.4551,0.11,0
404,679865.238,419295.4585,0.11,0
405,679865.2392,419295.4618,0.11,0
406,679865.2401,419295.4652,0.11,0
407,679865.241,419295.4685,0.11,0
408,679865.2422,419295.4719,0.11,0
409,679865.2432,419295.4753,0.11,0
410,679865.2441,419295.4786,0.11,0
411,679865.2453,419295.482,0.11,0
412,679865.2462,419295.4853,0.11,0
413,679865.2474,419295.4887,0.12,0
414,679865.2483,419295.4923,0.11,0
415,679865.2493,419295.4957,0.11,0
416,679865.2505,419295.499,0.11,0
417,679865.2514,419295.5024,0.11,0
418,679865.2526,419295.5057,0.11,0
419,679865.2535,419295.5091,0.11,0
420,679865.2544,419295.5124,0.11,0
421,679865.2557,419295.5158,0.11,0
422,679865.2566,419295.5191,0.11,0
423,679865.2575,419295.5225,0.11,0
424,679865.2587,419295.5258,0.11,0
425,679865.2596,419295.5292,0.11,0
426,679865.2608,419295.5326,0.11,0
427,679865.2618,419295.5359,0.12,0
428,679865.2627,419295.5396,0.12,0
429,679865.2639,419295.5429,0.11,0
430,679865.2648,419295.5463,0.11,0
431,679865.2657,419295.5496,0.11,0
432,679865.2669,419295.553,0.11,0
433,679865.2679,419295.5563,0.11,0
434,679865.2691,419295.5597,0.11,0
435,679865.27,419295.563,0.11,0
436,679865.2709,419295.5664,0.11,0
437,679865.2721,419295.5697,0.11,0
438,679865.273,419295.5731,0.11,0
439,679865.2743,419295.5764,0.11,0
440,679865.2752,419295.5798,0.11,0
441,679865.2761,419295.5831,0.11,0
442,679865.2773,419295.5865,0.12,0
443,679865.2782,419295.5902,0.11,0
444,679865.2791,419295.5935,0.11,0
445,679865.2803,419295.5969,0.11,0
446,679865.2813,419295.6002,0.11,0
447,679865.2825,419295.6036,0.11,0
448,679865.2834,419295.6069,0.11,0
449,679865.2843,419295.6103,0.11,0
450,679865.2855,419295.6136,0.11,0
451,679865.2864,419295.617,0.11,0
452,679865.2874,419295.6203,0.11,0
453,679865.2886,419295.6237,0.11,0
454,679865.2895,419295.627,0.11,0
455,679865.2907,419295.6304,0.11,0
456,679865.2916,419295.6337,0.12,0
457,679865.2925,419295.6374,0.12,0
458,679865.2938,419295.6408,0.11,0
459,679865.2947,419295.6441,0.11,0
460,679865.2956,419295.6475,0.11,0
461,679865.2968,419295.6508,0.11,0
462,679865.2977,419295.6542,0.11,0
463,679865.2989,419295.6575,0.11,0
464,679865.2999,419295.6609,0.11,0
465,679865.3008,419295.6642,0.11,0
466,679865.302,419295.6676,0.11,0
467,679865.3029,419295.6709,0.11,0
468,679865.3041,419295.6743,0.11,0
469,679865.305,419295.6776,0.11,0
470,679865.306,419295.681,0.11,0
471,679865.3072,419295.6843,0.12,0
472,679865.3081,419295.688,0.12,0
473,679865.309,419295.6914,0.11,0
474,679865.3102,419295.6947,0.11,0
475,679865.3111,419295.6981,0.11,0
476,679865.3124,419295.7014,0.11,0
477,679865.3133,419295.7048,0.11,0
478,679865.3142,419295.7081,0.11,0
479,679865.3154,419295.7115,0.11,0
480,679865.3163,419295.7148,0.11,0
481,679865.3172,419295.7182,0.11,0
482,679865.3184,419295.7215,0.11,0
483,679865.3194,419295.7249,0.11,0
484,679865.3206,419295.7282,0.11,0
485,679865.3215,419295.7316,0.11,0
486,679865.3224,419295.7349,0.12,0
487,679865.3236,419295.7386,0.12,0
488,679865.3245,419295.742,0.11,0
489,679865.3258,419295.7453,0.11,0
490,679865.3267,419295.7487,0.11,0
491,679865.3276,419295.752,0.11,0
492,679865.3288,419295.7554,0.11,0
493,679865.3297,419295.7587,0.11,0
494,679865.3306,419295.7621,0.11,0
495,679865.3319,419295.7654,0.11,0
496,679865.3328,419295.7688,0.11,0
497,679865.334,419295.7721,0.11,0
498,679865.3349,419295.7755,0.11,0
499,679865.3358,419295.7788,0.11,0
500,679865.337,419295.7822,0.12,0
501,679865.338,419295.7858,0.11,0
502,679865.3389,419295.7892,0.11,0
503,679865.3401,419295.7925,0.11,0
504,679865.341,419295.7959,0.11,0
505,679865.3422,419295.7993,0.11,0
506,679865.3431,419295.8026,0.11,0
507,679865.3441,419295.806,0.11,0
508,679865.3453,419295.8093,0.11,0
509,679865.3462,419295.8127,0.11,0
510,679865.3474,419295.816,0.11,0
511,679865.3483,419295.8194,0.11,0
512,679865.3492,419295.8227,0.11,0
513,679865.3505,419295.8261,0.11,0
514,679865.3514,419295.8294,0.11,0
515,679865.3523,419295.8328,0.11,0
516,679865.3535,419295.8364,0.12,0
517,679865.3544,419295.8398,0.11,0
518,679865.3556,419295.8431,0.11,0
519,679865.3565,419295.8465,0.11,0
520,679865.3575,419295.8498,0.11,0
521,679865.3587,419295.8532,0.11,0
522,679865.3596,419295.8566,0.11,0
523,679865.3605,419295.8599,0.11,0
524,679865.3617,419295.8633,0.11,0
525,679865.3626,419295.8666,0.11,0
526,679865.3639,419295.87,0.11,0
527,679865.3648,419295.8733,0.11,0
528,679865.3657,419295.8767,0.11,0
529,679865.3669,419295.88,0.11,0
530,679865.3678,419295.8834,0.12,0
531,679865.3687,419295.887,0.12,0
532,679865.37,419295.8904,0.11,0
533,679865.3709,419295.8937,0.11,0
534,679865.3721,419295.8971,0.11,0
535,679865.373,419295.9004,0.11,0
536,679865.3739,419295.9038,0.11,0
537,679865.3751,419295.9072,0.11,0
538,679865.3761,419295.9105,0.11,0
539,679865.3773,419295.9139,0.11,0
540,679865.3782,419295.9172,0.11,0
541,679865.3791,419295.9206,0.11,0
542,679865.3803,419295.9239,0.11,0
543,679865.3812,419295.9273,0.11,0
544,679865.3822,419295.9306,0.11,0
545,679865.3834,419295.9343,0.11,0
546,679865.3843,419295.9376,0.11,0
547,679865.3855,419295.941,0.11,0
548,679865.3864,419295.9443,0.11,0
549,679865.3873,419295.9477,0.11,0
550,679865.3886,419295.951,0.11,0
551,679865.3895,419295.9544,0.11,0
552,679865.3904,419295.9577,0.11,0
553,679865.3916,419295.9611,0.11,0
554,679865.3925,419295.9645,0.11,0
555,679865.3937,419295.9678,0.11,0
556,679865.3946,419295.9712,0.11,0
557,679865.3956,419295.9745,0.11,0
558,679865.3968,419295.9779,0.11,0
559,679865.3977,419295.9812,0.12,0
560,679865.3989,419295.9849,0.11,0
561,679865.3998,419295.9882,0.11,0
562,679865.4007,419295.9916,0.11,0
563,679865.402,419295.9949,0.11,0
564,679865.4029,419295.9983,0.11,0
565,679865.4038,419296.0016,0.11,0
566,679865.405,419296.005,0.11,0
567,679865.4059,419296.0083,0.11,0
568,679865.4071,419296.0117,0.11,0
569,679865.4081,419296.0151,0.11,0
570,679865.409,419296.0184,0.11,0
571,679865.4102,419296.0218,0.11,0
572,679865.4111,419296.0251,0.11,0
573,679865.412,419296.0285,0.11,0
574,679865.4132,419296.0318,0.11,0
575,679865.4142,419296.0355,0.12,0
576,679865.4154,419296.0388,0.11,0
577,679865.4163,419296.0422,0.11,0
578,679865.4172,419296.0455,0.11,0
579,679865.4184,419296.0489,0.11,0
580,679865.4193,419296.0522,0.11,0
581,679865.4206,419296.0556,0.11,0
582,679865.4215,419296.0589,0.11,0
583,679865.4224,419296.0623,0.11,0
584,679865.4236,419296.0656,0.11,0
585,679865.4245,419296.069,0.11,0
586,679865.4254,419296.0724,0.11,0
587,679865.4267,419296.0757,0.18,1.02
588,679865.4276,419296.0791,0.81,9.83
589,679865.4288,419296.0827,2.83,11.32
590,679865.4254,419296.1223,6.46,11.31
591,679865.43,419296.4021,11.19,11.24
592,679865.4513,419296.8435,15.69,11.22
593,679865.4833,419297.4327,18.36,11.21
594,679865.5169,419298.0895,18.74,-8.53
595,679865.5416,419298.6958,17.65,-11.22
596,679865.5626,419299.135,16.21,-11.23
597,679865.5879,419299.6041,15.33,-3.33
598,679865.6126,419300.0637,15.13,0.06
599,679865.637,419300.5233,15.12,-0.27
600,679865.6617,419300.9833,15.11,0
601,679865.6863,419301.4429,15.11,0
602,679865.7107,419301.9026,15.11,0
603,679865.7354,419302.3625,15.11,0
604,679865.7601,419302.8221,15.11,0
